SHITOMASI,BRISK,0,1723,12.224,1723,4,1630,19.669,0,0,0
SHITOMASI,BRISK,1,1759,12.286,1759,4,1662,19.9903,797,75.9285,833
SHITOMASI,BRISK,2,1820,12.4201,1820,4,1717,19.9967,779,78.8828,883
SHITOMASI,BRISK,3,1850,12.2151,1850,4,1752,20.205,843,82.4564,874
SHITOMASI,BRISK,4,1828,12.0672,1828,4,1729,20.3296,792,82.8119,960
SHITOMASI,BRISK,5,1806,12.1989,1806,4,1689,20.7904,817,80.6944,912
SHITOMASI,BRISK,6,1877,12.4031,1877,4,1736,20.719,805,81.25,884
SHITOMASI,BRISK,7,1894,12.3407,1894,4,1758,21.135,780,83.8552,956
SHITOMASI,BRISK,8,1889,12.3651,1889,4,1757,20.8964,850,85.5004,908
SHITOMASI,BRISK,9,1917,12.1682,1917,4,1778,20.822,842,85.3507,915
SHITOMASI,BRISK,10,1874,12.2168,1874,4,1739,20.8765,832,86.0271,946
SHITOMASI,BRISK,11,1912,12.2326,1912,4,1787,22.3571,857,85.3954,882
SHITOMASI,BRISK,12,1930,12.3099,1930,4,1794,21.3765,849,87.9038,938
SHITOMASI,BRISK,13,1881,12.1666,1881,4,1769,21.2059,884,86.5494,910
SHITOMASI,BRISK,14,1886,12.2177,1886,4,1776,21.6663,889,86.4576,880
SHITOMASI,BRISK,15,1957,12.3336,1957,4,1849,22.7393,906,89.5911,870
SHITOMASI,BRISK,16,1888,12.0847,1888,4,1778,21.2256,878,90.0726,971
SHITOMASI,BRISK,17,1919,12.3511,1919,4,1815,21.4158,914,88.4719,864
SHITOMASI,BRISK,18,2057,12.4209,2057,4,1936,22.9122,960,95.4125,855
SHITOMASI,BRIEF,0,1723,12.2701,1723,4,1534,6.25567,0,0,0
SHITOMASI,BRIEF,1,1759,12.3765,1759,4,1564,6.09677,1148,60.9427,386
SHITOMASI,BRIEF,2,1820,12.2072,1820,4,1621,6.04704,1167,64.0574,397
SHITOMASI,BRIEF,3,1850,12.22,1850,4,1652,6.12713,1221,67.4814,400
SHITOMASI,BRIEF,4,1828,12.0217,1828,4,1621,6.05385,1210,67.5137,442
SHITOMASI,BRIEF,5,1806,15.8016,1806,4,1582,6.1088,1221,65.1921,400
SHITOMASI,BRIEF,6,1877,12.2279,1877,4,1609,6.38054,1155,63.4343,427
SHITOMASI,BRIEF,7,1894,12.2101,1894,4,1622,6.30322,1190,65.7102,419
SHITOMASI,BRIEF,8,1889,12.3592,1889,4,1621,6.24164,1214,68.0694,408
SHITOMASI,BRIEF,9,1917,12.2914,1917,4,1654,6.44532,1205,67.3731,416
SHITOMASI,BRIEF,10,1874,12.1759,1874,4,1608,6.48918,1187,66.8189,467
SHITOMASI,BRIEF,11,1912,12.2162,1912,4,1657,6.3456,1193,67.1688,415
SHITOMASI,BRIEF,12,1930,12.2673,1930,4,1654,6.59304,1239,68.3951,418
SHITOMASI,BRIEF,13,1881,12.4193,1881,4,1634,6.2785,1250,67.7418,404
SHITOMASI,BRIEF,14,1886,12.3287,1886,4,1640,6.52944,1248,67.114,386
SHITOMASI,BRIEF,15,1957,12.4095,1957,4,1707,6.55683,1262,72.8434,378
SHITOMASI,BRIEF,16,1888,12.8053,1888,4,1646,6.75347,1281,73.3638,426
SHITOMASI,BRIEF,17,1919,12.2935,1919,4,1683,6.5181,1270,69.6834,376
SHITOMASI,BRIEF,18,2057,12.702,2057,4,1767,7.39645,1320,76.1755,363
SHITOMASI,ORB,0,1723,12.0304,1723,4,1517,3.79685,0,0,0
SHITOMASI,ORB,1,1759,12.1724,1759,4,1548,3.95097,1053,60.7223,464
SHITOMASI,ORB,2,1820,12.0939,1820,4,1598,3.66282,1070,62.3435,478
SHITOMASI,ORB,3,1850,12.1355,1850,4,1628,3.99729,1116,65.8054,482
SHITOMASI,ORB,4,1828,12.1796,1828,4,1603,3.64194,1082,65.2242,546
SHITOMASI,ORB,5,1806,12.1449,1806,4,1569,3.7131,1080,63.9262,523
SHITOMASI,ORB,6,1877,12.1491,1877,4,1585,3.65986,1042,62.857,527
SHITOMASI,ORB,7,1894,12.2764,1894,4,1604,3.72249,1059,64.2811,526
SHITOMASI,ORB,8,1889,12.1665,1889,4,1602,3.72718,1085,64.7445,519
SHITOMASI,ORB,9,1917,12.1191,1917,4,1634,3.80902,1072,65.8976,530
SHITOMASI,ORB,10,1874,12.4275,1874,4,1581,3.62548,1050,64.9013,584
SHITOMASI,ORB,11,1912,12.2921,1912,4,1630,3.83484,1049,64.8346,532
SHITOMASI,ORB,12,1930,12.182,1930,4,1630,3.72851,1099,67.0506,531
SHITOMASI,ORB,13,1881,12.4812,1881,4,1612,3.70519,1109,66.148,521
SHITOMASI,ORB,14,1886,12.3269,1886,4,1609,3.85042,1099,65.6494,513
SHITOMASI,ORB,15,1957,12.3784,1957,4,1676,3.82449,1102,68.0101,507
SHITOMASI,ORB,16,1888,12.219,1888,4,1619,3.67722,1135,67.8742,541
SHITOMASI,ORB,17,1919,12.3218,1919,4,1660,3.85085,1165,67.6685,454
SHITOMASI,ORB,18,2057,12.2747,2057,4,1731,3.91144,1204,71.8347,456
SHITOMASI,FREAK,0,1723,12.08,1723,4,1563,61.1029,0,0,0
SHITOMASI,FREAK,1,1759,12.5553,1759,4,1586,60.2731,812,66.1427,751
SHITOMASI,FREAK,2,1820,12.4558,1820,4,1648,61.0503,814,68.9977,772
SHITOMASI,FREAK,3,1850,12.2796,1850,4,1685,61.3454,878,77.3366,770
SHITOMASI,FREAK,4,1828,12.0234,1828,4,1649,61.6564,851,73.5797,834
